,信用(Y),銀行口座残高,ローン期間,前回のローンの状態,目的,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,収入に対しローンの割合,性別・婚姻状況,保証人,現住所に住んでいた期間,最も価値のあるアセット,年齢,その他のローン,住所タイプ,同銀行ローン数,職業,扶養者数,電話,労働形態,年齢_cat,ローン期間_cat,ローン金額_cat
50,0,3,12,1,0,640,1,2,4,1,1,2,1,49,2,2,1,1,1,1,1,3,2,2
51,0,3,36,1,3,3919,1,2,2,2,1,2,1,23,2,2,1,2,1,2,1,1,6,5
52,0,3,9,2,0,1224,1,2,3,2,1,1,1,30,2,2,2,2,1,1,1,2,2,3
53,0,3,12,2,3,2331,4,4,1,2,2,4,1,49,2,2,1,2,1,2,1,3,2,4
54,0,3,24,1,1,6313,4,4,3,2,1,4,3,41,2,2,1,3,2,2,1,3,4,6
55,0,1,12,2,3,385,1,3,4,1,1,3,1,58,2,2,2,1,1,2,1,3,2,1
56,0,3,12,2,3,1655,1,4,2,2,1,4,1,63,2,2,2,1,1,2,1,4,2,4
57,0,1,15,1,3,1053,1,1,4,3,1,2,1,27,2,2,1,2,1,1,2,2,3,3
58,0,3,21,1,3,3160,4,4,4,2,1,3,2,41,2,2,1,2,1,2,1,3,4,5
59,0,3,36,1,0,3079,4,2,4,2,1,4,1,36,2,2,1,2,1,1,1,2,6,5
60,0,3,12,2,0,1163,3,2,4,2,1,4,1,44,2,2,1,2,1,2,1,3,2,3
61,0,3,24,1,1,2679,1,1,4,1,1,1,4,29,2,2,1,3,1,2,1,2,4,5
62,0,3,48,2,3,3578,4,4,4,2,1,1,1,47,2,2,1,2,1,2,1,3,8,5
63,0,3,36,2,0,10875,1,4,2,2,1,2,3,45,2,2,2,2,2,2,1,3,6,8
64,0,1,12,2,0,1344,1,2,4,2,1,2,1,43,2,2,2,1,2,1,1,3,2,3
65,0,3,6,2,3,1237,2,2,1,1,1,1,2,27,2,2,2,2,1,1,1,2,1,3
66,0,3,12,1,3,3077,1,2,2,2,1,4,3,52,2,2,1,2,1,2,1,3,2,5
67,0,3,24,1,3,2284,1,3,4,2,1,2,3,28,2,2,1,2,1,2,1,2,4,4
68,0,2,12,1,3,1567,1,2,1,1,1,1,3,22,2,2,1,2,1,2,1,1,2,4
69,0,3,24,2,0,2032,1,4,4,2,1,4,4,60,2,3,2,2,1,2,1,4,4,4
70,0,2,21,2,2,2745,3,3,3,2,1,2,3,32,2,2,2,2,1,2,1,2,4,5
71,0,3,30,1,3,1867,4,4,4,2,1,4,3,58,2,2,1,2,1,2,1,3,5,4
72,0,3,36,1,3,2299,3,4,4,2,1,4,3,39,2,2,1,2,1,1,1,2,6,4
73,0,3,24,1,2,929,4,3,4,2,1,2,3,31,1,2,1,2,1,2,1,2,4,2
74,0,3,12,1,3,3399,4,4,2,2,1,3,3,37,2,2,1,3,1,1,1,2,2,5
75,0,2,9,1,2,2030,4,3,2,2,1,1,3,24,2,2,1,2,1,2,1,1,2,4
76,0,3,21,2,1,3275,1,4,1,2,1,4,3,36,2,2,1,3,1,2,1,2,4,5
77,0,3,24,2,0,1940,3,4,4,2,1,4,1,60,2,2,1,2,1,2,1,4,4,4
78,0,1,21,2,0,1602,1,4,4,3,1,3,3,30,2,2,2,2,1,2,1,2,4,4
79,0,3,15,1,3,1979,4,4,4,2,1,2,3,35,2,2,1,2,1,1,1,2,3,4
80,0,3,24,2,0,2022,1,2,4,1,1,4,3,37,2,2,1,2,1,2,1,2,4,4
81,0,3,36,2,3,3342,4,4,4,2,1,2,3,51,2,2,1,2,1,2,1,3,6,5
82,0,2,18,1,0,5866,2,2,2,2,1,2,3,30,2,2,2,2,1,2,1,2,3,6
83,0,3,15,2,1,2360,3,2,2,2,1,2,3,36,2,2,1,2,1,2,1,2,3,4
84,0,3,15,2,2,1520,4,4,4,2,1,4,2,63,2,2,1,2,1,1,1,4,3,4
85,0,1,12,1,0,3651,3,2,1,2,1,3,2,31,2,2,1,2,2,1,1,2,2,5
86,0,3,24,2,1,2346,1,3,4,2,1,3,3,35,2,2,2,2,1,2,1,2,4,4
87,0,3,36,2,3,4454,1,2,4,1,1,4,1,34,2,2,2,2,1,1,1,2,6,5
88,0,1,6,2,0,666,3,3,3,1,1,4,1,39,2,2,2,1,1,2,1,2,1,2
89,0,2,24,2,0,1965,4,2,4,1,1,4,3,42,2,1,2,2,1,2,1,3,4,4
90,0,2,12,2,0,1995,2,1,4,2,1,1,3,27,2,2,1,2,1,1,1,2,2,4
91,0,2,30,1,3,2991,4,4,2,1,1,4,3,25,2,2,1,2,1,1,1,1,5,5
92,0,2,30,0,6,4221,1,2,2,1,1,1,3,28,2,2,2,2,1,1,1,2,5,5
93,0,1,9,1,3,1364,1,3,3,2,1,4,1,59,2,2,1,2,1,1,1,3,2,3
94,0,2,18,2,2,6361,1,4,2,2,1,1,4,41,2,2,1,2,1,2,1,3,3,6
95,0,3,27,2,2,4526,3,1,4,2,1,2,1,32,1,2,2,1,2,2,1,2,5,5
96,0,2,12,2,3,3573,1,2,1,1,1,1,1,23,2,2,1,1,1,1,1,1,2,5
97,1,2,36,2,6,4455,1,2,2,1,1,2,1,30,1,2,2,3,1,2,1,2,6,5
98,0,1,9,1,2,2136,1,2,3,2,1,2,1,25,2,2,1,2,1,1,1,1,2,4
99,0,2,42,2,6,5954,1,3,2,1,1,1,1,41,1,2,2,1,1,1,1,3,7,6
100,0,3,24,2,2,3777,3,2,4,2,1,4,1,40,2,2,1,2,1,2,1,3,4,5
101,0,1,15,1,6,806,1,2,4,1,1,4,2,22,2,2,1,1,1,1,1,1,3,2
102,0,2,24,2,6,4712,4,2,4,2,1,2,2,34,1,2,2,3,1,2,1,2,4,5
103,0,2,36,2,0,7432,1,2,2,1,1,2,2,54,2,1,1,2,1,1,1,3,6,6
104,0,3,24,2,3,1851,1,3,4,3,2,2,3,33,2,2,2,2,1,2,1,2,4,4
105,0,3,24,1,0,1393,1,2,2,2,2,2,1,31,2,2,1,2,1,2,1,2,4,3
106,0,3,12,2,6,1412,1,2,4,1,2,2,1,29,2,2,2,3,1,2,1,2,2,3
107,0,3,18,1,3,1473,1,1,3,3,1,4,1,39,2,2,1,2,1,2,1,2,3,3
108,0,3,24,1,3,1533,1,1,4,1,1,3,3,38,1,2,1,2,1,2,1,2,4,4
109,0,3,12,2,3,2012,4,3,4,1,1,2,3,61,2,2,1,2,1,1,1,4,2,4
110,1,1,15,1,0,3959,1,2,3,1,1,2,2,29,2,2,1,2,1,2,1,2,3,5
111,0,1,6,1,2,428,1,4,2,1,1,1,2,49,1,2,1,2,1,2,1,3,1,1
112,0,2,12,2,0,2366,3,3,3,1,1,3,3,36,2,2,1,3,1,2,1,2,2,4
113,0,3,12,1,2,763,1,2,4,1,1,1,1,26,2,2,1,2,1,2,1,2,2,2
114,0,2,21,1,2,3976,4,3,2,2,1,3,3,35,2,2,1,2,1,2,1,2,4,5
115,0,2,18,1,0,6260,1,3,3,2,1,3,1,28,2,1,1,1,1,1,1,2,3,6
116,0,2,9,2,2,1919,1,3,4,2,1,3,3,35,2,1,1,2,1,2,1,2,2,4
117,0,3,24,1,1,2603,3,2,2,1,1,4,3,28,2,1,1,2,1,2,1,2,4,5
118,0,3,9,2,3,936,3,4,4,2,1,2,3,52,2,2,2,2,1,2,1,3,2,2
119,0,3,24,1,2,3062,3,4,4,2,1,3,4,32,2,1,1,2,1,2,1,2,4,5
120,0,2,36,1,3,4795,1,1,4,1,1,1,4,30,2,2,1,3,1,2,1,2,6,5
121,0,3,36,2,1,5842,1,4,2,2,1,2,2,35,2,2,2,2,2,2,1,2,6,6
122,0,2,6,1,3,2063,1,1,4,3,1,3,3,30,2,1,1,3,1,2,1,2,1,4
123,0,3,15,2,3,1459,1,2,4,1,1,2,3,43,2,2,1,1,1,1,1,3,3,3
124,0,3,15,1,3,1213,3,4,4,2,1,3,2,47,1,2,1,2,1,2,1,3,3,3
125,0,3,24,2,3,5103,1,1,3,3,1,3,4,47,2,3,2,2,1,2,1,3,4,6
126,0,3,15,1,3,874,4,1,4,1,1,1,1,24,2,2,1,2,1,1,1,1,3,2
127,0,3,6,1,2,2978,3,2,1,2,1,2,3,32,2,2,1,2,1,2,1,2,1,5
128,0,3,18,1,0,1820,1,2,2,3,1,2,2,30,2,2,1,3,1,2,1,2,3,4
129,0,3,24,2,3,2872,2,4,3,2,1,4,1,36,2,2,1,2,2,2,1,2,4,5
130,0,3,24,1,2,1925,1,2,2,2,1,2,1,26,2,2,1,2,1,1,1,2,4,4
131,0,3,18,1,2,2515,1,2,3,2,1,4,1,43,2,2,1,2,1,2,1,3,3,5
132,0,3,6,1,2,2116,1,2,2,2,1,2,1,41,2,2,1,2,1,2,1,3,1,4
133,0,3,18,1,3,1453,1,1,3,1,1,1,1,26,2,2,1,2,1,1,1,2,3,3
134,0,3,10,1,0,1364,1,2,2,1,1,4,3,64,2,2,1,2,1,2,1,4,2,3
135,0,3,6,1,2,1543,3,2,4,1,1,2,1,33,2,2,1,2,1,1,1,2,1,4
136,0,2,12,1,0,1318,3,4,4,2,1,4,1,54,2,2,1,2,1,2,1,3,2,3
137,0,1,24,0,0,2325,2,3,2,2,1,3,3,32,1,2,1,2,1,1,1,2,4,4
138,0,2,6,2,5,932,4,3,1,1,1,3,2,39,2,2,2,1,1,1,1,2,1,2
139,0,3,24,2,3,3148,4,2,3,2,1,2,3,31,2,2,2,2,1,2,1,2,4,5
140,0,3,36,1,3,3835,4,4,2,1,1,4,1,45,2,2,1,1,1,2,1,3,6,5
141,0,3,9,1,3,3832,4,4,1,2,1,4,1,64,2,2,1,1,1,1,1,4,2,5
142,0,2,24,1,3,5084,4,4,2,1,1,4,3,42,2,2,1,2,1,2,1,3,4,6
143,0,3,9,2,2,2406,1,1,2,2,1,3,3,31,2,2,1,3,1,1,1,2,2,4
144,0,3,36,1,3,2394,4,2,4,1,1,4,3,25,2,2,1,2,1,1,1,1,6,4
145,0,3,21,1,1,2476,4,4,4,2,1,4,1,46,2,2,1,3,1,2,1,3,4,4
146,0,1,24,1,1,2964,4,4,4,2,1,4,4,49,1,3,1,2,2,2,1,3,4,5
147,0,1,12,1,2,1262,4,4,2,1,1,4,2,49,2,2,1,1,1,2,1,3,2,3
148,0,3,12,1,6,1542,1,3,2,2,1,4,3,36,2,2,1,2,1,2,1,2,2,4
149,0,2,24,2,3,1743,1,4,4,2,1,2,2,48,2,2,2,1,1,1,1,3,4,4
150,0,3,12,0,3,409,3,2,3,1,1,3,1,42,2,1,2,2,1,1,1,3,2,1
151,0,3,12,1,3,2171,1,1,2,1,1,2,3,29,1,2,1,2,1,1,1,2,2,4
152,0,3,48,2,1,8858,4,3,2,2,1,1,4,35,2,3,2,2,1,2,1,2,8,7
153,0,2,24,1,0,3512,2,3,2,2,1,3,3,38,1,2,2,2,1,2,1,2,4,5
154,0,2,12,1,3,1158,3,2,3,1,1,1,3,26,2,2,1,2,1,2,1,2,2,3
155,0,3,24,2,3,2684,1,2,4,2,1,2,1,35,2,2,2,1,1,1,1,2,4,5
156,0,1,12,1,3,1498,1,2,4,1,1,1,3,23,1,2,1,2,1,1,1,1,2,3
157,0,3,30,2,3,5954,1,3,3,2,2,2,3,38,2,2,1,2,1,1,1,2,5,6
158,1,2,48,0,6,6416,1,4,4,1,1,3,4,59,2,1,1,2,1,1,1,3,8,6
159,0,2,12,2,2,3617,1,4,1,2,1,4,3,28,2,1,2,2,1,2,1,2,2,5
160,0,3,12,2,3,1291,1,2,4,1,1,2,2,35,2,2,2,2,1,1,1,2,2,3
161,0,3,24,2,6,1275,3,2,2,1,1,4,1,36,2,2,2,2,1,2,1,2,4,3
162,0,3,24,1,2,3972,1,3,2,1,1,4,2,25,2,1,1,2,1,2,1,1,4,5
163,0,3,15,2,2,3343,1,2,4,2,1,2,4,28,2,3,1,2,1,2,1,2,3,5
164,0,3,15,1,3,392,1,1,4,1,1,4,2,23,2,1,1,2,1,2,1,1,3,1
165,0,3,9,2,0,2134,1,2,4,2,1,4,3,48,2,2,2,2,1,2,1,3,2,4
166,0,3,30,2,3,5771,1,3,4,1,1,2,3,25,2,2,2,2,1,1,1,1,5,6
167,0,3,24,2,6,4526,1,2,3,2,1,2,1,74,2,2,1,3,1,2,1,5,4,5
168,0,3,15,2,2,2788,1,3,2,1,2,3,3,24,1,2,2,2,1,1,1,1,3,5
169,0,3,6,2,3,1382,1,2,1,1,1,1,3,28,2,2,2,2,1,2,1,2,1,3
170,0,3,36,1,3,5848,1,2,4,2,1,1,3,24,2,2,1,2,1,1,1,1,6,6
171,1,1,12,1,0,1228,1,2,4,1,1,2,1,24,2,2,1,1,1,1,1,1,2,3
172,0,3,12,1,3,1297,1,2,3,3,1,4,1,23,2,1,1,2,1,1,1,1,2,3
173,0,3,24,1,3,1552,1,3,3,2,1,1,3,32,1,2,1,2,2,1,1,2,4,4
174,0,3,12,1,3,1963,1,3,4,2,1,2,3,31,2,1,2,3,2,2,1,2,2,4
175,0,3,24,1,3,3235,3,4,3,1,1,2,3,36,2,2,1,3,1,2,1,2,4,5
176,0,3,24,2,6,4139,2,2,3,2,1,3,2,27,2,2,2,1,1,2,1,2,4,5
177,0,2,12,2,1,1804,2,1,3,2,1,4,2,44,2,2,1,2,1,1,1,3,2,4
178,0,3,18,1,6,1950,1,3,4,2,1,1,3,34,1,2,2,2,1,2,1,2,3,4
179,0,3,48,2,3,12749,3,3,4,2,1,1,3,37,2,2,1,3,1,2,1,2,8,8
180,0,3,9,1,3,1236,1,1,1,1,1,4,1,23,2,1,1,2,1,2,1,1,2,3
181,0,3,18,2,0,1055,1,1,4,1,1,1,2,30,2,2,2,2,1,1,1,2,3,3
182,0,1,30,0,6,8072,4,1,2,2,1,3,3,25,1,2,2,2,1,1,1,1,5,7
183,0,3,30,2,3,2831,1,2,4,1,1,2,3,33,2,2,1,2,1,2,1,2,5,5
184,0,3,9,1,6,1449,1,3,3,1,1,2,3,27,2,2,2,2,1,1,1,2,2,3
185,0,3,36,1,6,5742,2,3,2,2,1,2,3,31,2,2,2,2,1,2,1,2,6,6
186,0,3,12,1,0,2390,4,4,4,2,1,3,3,50,2,2,1,2,1,2,1,3,2,4
187,0,3,24,1,3,3430,3,4,3,2,1,2,3,31,2,2,1,2,2,2,1,2,4,5
188,0,2,36,1,3,2273,1,3,3,2,1,1,3,32,2,2,2,2,2,1,1,2,6,4
189,0,3,21,1,0,2923,2,2,1,1,1,1,3,28,1,2,1,3,1,2,1,2,4,5
190,0,3,24,1,3,1901,2,2,4,2,1,4,3,29,2,1,1,3,1,2,1,2,4,4
191,0,2,36,1,3,3711,4,2,2,3,1,2,3,27,2,2,1,2,1,1,1,2,6,5
192,0,2,48,1,0,8487,4,3,1,1,1,2,3,24,2,2,1,2,1,1,1,1,8,7
193,0,3,24,1,0,2255,4,1,4,2,1,1,2,54,2,2,1,2,1,1,1,3,4,4
194,0,3,12,1,3,1262,1,2,3,2,1,2,3,25,2,2,1,2,1,1,1,1,2,3
195,0,3,33,2,1,7253,1,3,3,2,1,2,3,35,2,2,2,3,1,2,1,2,6,6
196,0,3,6,2,0,6761,1,3,1,2,1,3,4,45,2,2,2,3,2,2,1,3,1,6
197,0,3,18,2,2,1817,1,2,4,1,1,2,4,28,2,2,2,2,1,1,1,2,3,4
198,0,3,12,1,3,2141,2,3,3,2,1,1,4,35,2,2,1,2,1,1,1,2,2,4
199,0,3,48,0,6,3609,1,2,1,1,1,1,1,27,1,2,1,2,1,1,1,2,8,5
200,0,3,30,1,3,2333,3,4,4,2,1,2,3,30,1,2,1,3,1,1,1,2,5,4
201,0,3,28,0,1,7824,4,1,3,2,2,4,1,40,1,1,2,2,2,2,1,3,5,7
202,0,3,18,0,3,1445,4,3,4,2,1,4,3,49,1,2,1,1,1,1,1,3,3,3
203,0,1,24,1,2,7721,4,1,1,1,1,2,2,30,2,2,1,2,1,2,2,2,4,7
204,0,1,21,1,0,3763,4,3,2,2,2,2,1,24,2,2,1,1,1,1,2,1,4,5
205,0,2,18,1,6,4439,1,4,1,2,2,1,1,33,1,2,1,3,1,2,1,2,3,5
206,0,1,12,1,3,1107,1,2,2,2,1,2,1,20,2,1,1,3,2,2,1,1,2,3
207,0,2,15,1,3,1444,4,1,4,2,1,1,2,23,2,2,1,2,1,1,1,1,3,3
208,0,2,48,0,0,12169,4,1,4,2,2,4,4,36,2,3,1,3,1,2,1,2,8,8
209,0,3,9,1,3,2753,2,4,3,2,2,4,3,35,2,2,1,2,1,2,1,2,2,5
210,0,3,4,1,0,1494,4,1,1,2,1,2,1,29,2,2,1,1,2,1,2,2,1,3
211,0,1,24,0,2,2828,3,2,4,2,1,4,1,22,1,2,1,2,1,2,1,1,4,5
212,0,1,24,0,2,2483,3,2,4,2,1,4,1,22,1,2,1,2,1,2,1,1,4,4
213,0,3,6,2,0,1299,1,2,1,2,1,1,1,74,2,2,2,1,2,1,2,5,1,3
214,0,2,9,1,0,1549,4,1,4,2,1,2,1,35,2,2,1,1,1,1,1,2,2,4
215,0,3,10,1,0,3949,1,1,1,2,2,1,2,37,2,2,1,1,2,1,1,2,2,5
216,0,3,10,1,1,2901,4,1,1,1,1,4,1,31,2,1,1,2,1,1,1,2,2,5
217,0,3,6,1,0,709,3,1,2,3,1,2,1,27,2,2,1,1,1,1,2,2,1,2
218,0,1,47,1,0,10722,1,1,1,1,1,1,1,35,2,2,1,1,1,2,1,2,8,8
219,0,3,10,1,0,1287,4,4,4,2,2,2,2,45,2,2,1,1,1,1,2,3,2,3
220,0,1,18,0,3,1940,1,1,3,2,2,4,4,36,1,3,1,3,1,2,1,2,3,4
221,0,3,30,2,3,3656,4,4,4,2,1,4,2,49,1,2,2,1,1,1,1,3,5,5
222,0,3,24,2,1,4679,1,3,3,2,1,3,3,35,2,2,2,1,1,2,1,2,4,5
223,0,3,27,2,1,8613,3,2,2,2,1,2,3,27,2,2,2,2,1,1,1,2,5,7
224,0,1,18,1,2,2659,3,2,4,2,1,2,3,28,2,2,1,2,1,1,1,2,3,5
225,0,3,24,2,3,1516,3,2,4,1,1,1,1,43,2,2,2,1,1,1,1,3,4,4
226,0,1,18,1,0,4380,2,2,3,2,1,4,3,35,2,2,1,1,2,2,1,2,3,5
227,0,3,14,2,0,802,1,2,4,2,1,2,3,27,2,2,2,1,1,1,1,2,3,2
228,0,3,21,1,6,1572,3,4,4,1,1,4,1,36,1,2,1,1,1,1,1,2,4,4
229,0,2,48,0,6,3566,2,3,4,2,1,2,3,30,2,2,1,2,1,1,1,2,8,5
230,0,3,24,1,3,1278,1,4,4,2,1,1,1,36,2,2,1,3,1,2,1,2,4,3
231,0,3,6,0,3,426,1,4,4,3,1,4,3,39,2,2,1,1,1,1,1,2,1,1
232,0,3,39,1,1,8588,2,4,4,2,1,2,3,45,2,2,1,3,1,2,1,3,7,7
233,0,1,30,1,1,3857,1,2,4,1,1,4,2,40,2,2,1,3,1,2,1,3,5,5
234,1,2,12,1,0,685,1,3,2,3,1,3,3,25,1,2,1,1,1,1,1,1,2,2
235,0,1,24,1,3,1603,1,4,4,1,1,4,3,55,2,2,1,2,1,1,1,3,4,4
236,0,3,21,1,2,2241,1,4,4,2,1,2,1,50,2,2,2,2,1,1,1,3,4,4
237,0,1,24,1,3,2384,1,4,4,2,1,4,1,64,1,1,1,1,1,1,1,4,4,4
238,0,3,4,1,2,601,1,1,1,1,1,3,1,23,2,1,1,1,2,1,1,1,1,2
239,0,3,39,1,1,2569,3,2,4,2,1,4,3,24,2,2,1,2,1,1,1,1,7,5
240,0,3,15,2,3,1316,3,2,2,3,1,2,2,47,2,2,2,1,1,1,1,3,3,3
241,0,3,60,1,0,10366,1,4,2,2,1,4,2,42,2,2,1,3,1,2,1,3,10,8
242,0,3,18,1,6,1568,2,2,3,1,1,4,2,24,2,1,1,1,1,1,1,1,3,4
243,0,3,18,2,3,629,3,4,4,2,1,3,2,32,1,2,2,3,1,2,1,2,3,2
244,0,3,6,0,3,1750,3,4,2,2,1,4,2,45,1,2,1,1,2,1,1,3,1,4
245,0,3,24,1,1,3488,2,3,3,1,1,4,3,23,2,2,1,2,1,1,1,1,4,5
246,0,3,18,2,3,1800,1,2,4,2,1,2,3,24,2,2,2,2,1,1,1,1,3,4
247,0,3,24,2,2,4151,2,2,2,2,1,3,2,35,2,2,2,2,1,1,1,2,4,5
248,0,2,15,1,3,2631,2,2,3,1,1,2,1,25,2,2,1,1,1,1,1,1,3,5
249,0,3,21,1,1,5248,4,2,1,2,1,3,3,26,2,2,1,2,1,1,1,2,4,6
250,0,2,18,2,0,2899,4,4,4,2,1,4,3,43,2,2,1,2,2,1,1,3,3,5
251,0,2,18,2,3,6204,1,2,2,2,1,4,1,44,2,2,1,1,2,2,1,3,3,6
252,0,3,12,1,3,804,1,4,4,2,1,4,3,38,2,2,1,2,1,1,1,2,2,2
253,0,3,36,1,3,3595,1,4,4,2,1,2,3,28,2,2,1,2,1,1,1,2,6,5
254,0,3,36,2,1,5711,3,4,4,2,1,2,3,38,2,2,2,3,1,2,1,2,6,6
255,0,3,15,1,6,2687,1,3,2,2,1,4,2,26,2,1,1,2,1,2,1,2,3,5
256,0,1,15,2,2,3643,1,4,1,1,1,4,2,27,2,2,2,1,1,1,1,2,3,5
257,0,3,10,2,2,2146,1,1,1,1,1,3,1,23,2,1,2,2,1,1,1,1,2,4
258,0,1,10,1,3,2315,1,4,3,2,1,4,1,52,2,2,1,1,1,1,1,3,2,4
259,0,3,5,1,6,3448,1,3,1,2,1,4,1,74,2,2,1,1,1,1,1,5,1,5
260,0,3,15,1,2,2708,1,1,2,2,1,3,2,27,1,2,2,1,1,1,1,2,3,5
261,0,3,11,2,0,1393,1,1,4,1,1,4,3,35,2,2,2,3,1,1,1,2,2,3
262,0,3,10,1,2,1275,1,1,4,1,1,2,2,23,2,2,1,2,1,1,1,1,2,3
263,0,3,9,1,2,1313,1,4,1,2,1,4,3,20,2,2,1,2,1,1,1,1,2,3
264,0,3,12,1,3,1493,1,1,4,1,1,3,3,34,2,2,1,2,2,1,1,2,2,3
265,0,3,22,1,3,2675,3,4,3,2,1,4,3,40,2,2,1,2,1,1,1,3,4,5
266,0,2,9,1,3,2118,1,2,2,2,1,2,1,37,2,2,1,1,2,1,1,2,2,4
