,クレジット残高,ローン期間,前回のローンの状態,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,最も価値のあるアセット,信用(Y)
55,1,2,2,1,1,3,1,0
56,3,2,2,4,1,4,1,0
57,1,3,1,3,1,1,1,0
58,3,4,1,5,4,4,2,0
59,3,6,1,5,4,2,1,0
60,3,2,2,3,3,2,1,0
61,3,4,1,5,1,1,4,0
62,3,8,2,5,4,4,1,0
63,3,6,2,8,1,4,3,0
64,1,2,2,3,1,2,1,0
65,3,1,2,3,2,2,2,0
66,3,2,1,5,1,2,3,0
67,3,4,1,4,1,3,3,0
68,2,2,1,4,1,2,3,0
69,3,4,2,4,1,4,4,0
70,2,4,2,5,3,3,3,0
71,3,5,1,4,4,4,3,0
72,3,6,1,4,3,4,3,0
73,3,4,1,2,4,3,3,0
74,3,2,1,5,4,4,3,0
75,2,2,1,4,4,3,3,0
76,3,4,2,5,1,4,3,0
77,3,4,2,4,3,4,1,0
78,1,4,2,4,1,4,3,0
79,3,3,1,4,4,4,3,0
80,3,4,2,4,1,2,3,0
81,3,6,2,5,4,4,3,0
82,2,3,1,6,2,2,3,0
83,3,3,2,4,3,2,3,0
84,3,3,2,4,4,4,2,0
85,1,2,1,5,3,2,2,0
86,3,4,2,4,1,3,3,0
87,3,6,2,5,1,2,1,0
88,1,1,2,2,3,3,1,0
89,2,4,2,4,4,2,3,0
90,2,2,2,4,2,1,3,0
91,2,5,1,5,4,4,3,0
92,2,5,0,5,1,2,3,0
93,1,2,1,3,1,3,1,0
94,2,3,2,6,1,4,4,0
95,3,5,2,5,3,1,1,0
96,2,2,2,5,1,2,1,0
97,2,6,2,5,1,2,1,1
98,1,2,1,4,1,2,1,0
99,2,7,2,6,1,3,1,0
100,3,4,2,5,3,2,1,0
101,1,3,1,2,1,2,2,0
102,2,4,2,5,4,2,2,0
103,2,6,2,6,1,2,2,0
104,3,4,2,4,1,3,3,0
105,3,4,1,3,1,2,1,0
106,3,2,2,3,1,2,1,0
107,3,3,1,3,1,1,1,0
108,3,4,1,4,1,1,3,0
109,3,2,2,4,4,3,3,0
110,1,3,1,5,1,2,2,1
111,1,1,1,1,1,4,2,0
112,2,2,2,4,3,3,3,0
113,3,2,1,2,1,2,1,0
114,2,4,1,5,4,3,3,0
115,2,3,1,6,1,3,1,0
116,2,2,2,4,1,3,3,0
117,3,4,1,5,3,2,3,0
118,3,2,2,2,3,4,3,0
119,3,4,1,5,3,4,4,0
120,2,6,1,5,1,1,4,0
121,3,6,2,6,1,4,2,0
122,2,1,1,4,1,1,3,0
123,3,3,2,3,1,2,3,0
124,3,3,1,3,3,4,2,0
125,3,4,2,6,1,1,4,0
126,3,3,1,2,4,1,1,0
127,3,1,1,5,3,2,3,0
128,3,3,1,4,1,2,2,0
129,3,4,2,5,2,4,1,0
130,3,4,1,4,1,2,1,0
131,3,3,1,5,1,2,1,0
132,3,1,1,4,1,2,1,0
133,3,3,1,3,1,1,1,0
134,3,2,1,3,1,2,3,0
135,3,1,1,4,3,2,1,0
136,2,2,1,3,3,4,1,0
137,1,4,0,4,2,3,3,0
138,2,1,2,2,4,3,2,0
139,3,4,2,5,4,2,3,0
140,3,6,1,5,4,4,1,0
141,3,2,1,5,4,4,1,0
142,2,4,1,6,4,4,3,0
143,3,2,2,4,1,1,3,0
144,3,6,1,4,4,2,3,0
145,3,4,1,4,4,4,1,0
146,1,4,1,5,4,4,4,0
147,1,2,1,3,4,4,2,0
148,3,2,1,4,1,3,3,0
149,2,4,2,4,1,4,2,0
150,3,2,0,1,3,2,1,0
151,3,2,1,4,1,1,3,0
152,3,8,2,7,4,3,4,0
153,2,4,1,5,2,3,3,0
154,2,2,1,3,3,2,3,0
155,3,4,2,5,1,2,1,0
156,1,2,1,3,1,2,3,0
157,3,5,2,6,1,3,3,0
158,2,8,0,6,1,4,4,1
159,2,2,2,5,1,4,3,0
160,3,2,2,3,1,2,2,0
161,3,4,2,3,3,2,1,0
162,3,4,1,5,1,3,2,0
163,3,3,2,5,1,2,4,0
164,3,3,1,1,1,1,2,0
165,3,2,2,4,1,2,3,0
166,3,5,2,6,1,3,3,0
167,3,4,2,5,1,2,1,0
168,3,3,2,5,1,3,3,0
169,3,1,2,3,1,2,3,0
170,3,6,1,6,1,2,3,0
171,1,2,1,3,1,2,1,1
172,3,2,1,3,1,2,1,0
173,3,4,1,4,1,3,3,0
174,3,2,1,4,1,3,3,0
175,3,4,1,5,3,4,3,0
176,3,4,2,5,2,2,2,0
177,2,2,2,4,2,1,2,0
178,3,3,1,4,1,3,3,0
179,3,8,2,8,3,3,3,0
180,3,2,1,3,1,1,1,0
181,3,3,2,3,1,1,2,0
182,1,5,0,7,4,1,3,0
183,3,5,2,5,1,2,3,0
184,3,2,1,3,1,3,3,0
185,3,6,1,6,2,3,3,0
186,3,2,1,4,4,4,3,0
187,3,4,1,5,3,4,3,0
188,2,6,1,4,1,3,3,0
189,3,4,1,5,2,2,3,0
190,3,4,1,4,2,2,3,0
191,2,6,1,5,4,2,3,0
192,2,8,1,7,4,3,3,0
193,3,4,1,4,4,1,2,0
194,3,2,1,3,1,2,3,0
195,3,6,2,6,1,3,3,0
196,3,1,2,6,1,3,4,0
197,3,3,2,4,1,2,4,0
198,3,2,1,4,2,3,4,0
199,3,8,0,5,1,2,1,0
200,3,5,1,4,3,4,3,0
201,3,5,0,7,4,1,1,0
202,3,3,0,3,4,3,3,0
203,1,4,1,7,4,1,2,0
204,1,4,1,5,4,3,1,0
205,2,3,1,5,1,4,1,0
206,1,2,1,3,1,2,1,0
207,2,3,1,3,4,1,2,0
208,2,8,0,8,4,1,4,0
209,3,2,1,5,2,4,3,0
210,3,1,1,3,4,1,1,0
211,1,4,0,5,3,2,1,0
212,1,4,0,4,3,2,1,0
213,3,1,2,3,1,2,1,0
214,2,2,1,4,4,1,1,0
215,3,2,1,5,1,1,2,0
216,3,2,1,5,4,1,1,0
217,3,1,1,2,3,1,1,0
218,1,8,1,8,1,1,1,0
219,3,2,1,3,4,4,2,0
220,1,3,0,4,1,1,4,0
221,3,5,2,5,4,4,2,0
222,3,4,2,5,1,3,3,0
223,3,5,2,7,3,2,3,0
224,1,3,1,5,3,2,3,0
225,3,4,2,4,3,2,1,0
226,1,3,1,5,2,2,3,0
227,3,3,2,2,1,2,3,0
228,3,4,1,4,3,4,1,0
229,2,8,0,5,2,3,3,0
230,3,4,1,3,1,4,1,0
231,3,1,0,1,1,4,3,0
232,3,7,1,7,2,4,3,0
233,1,5,1,5,1,2,2,0
234,2,2,1,2,1,3,3,1
235,1,4,1,4,1,4,3,0
236,3,4,1,4,1,4,1,0
237,1,4,1,4,1,4,1,0
238,3,1,1,2,1,1,1,0
239,3,7,1,5,3,2,3,0
240,3,3,2,3,3,2,2,0
241,3,10,1,8,1,4,2,0
242,3,3,1,4,2,2,2,0
243,3,3,2,2,3,4,2,0
244,3,1,0,4,3,4,2,0
245,3,4,1,5,2,3,3,0
246,3,3,2,4,1,2,3,0
247,3,4,2,5,2,2,2,0
248,2,3,1,5,2,2,1,0
249,3,4,1,6,4,2,3,0
250,2,3,2,5,4,4,3,0
251,2,3,2,6,1,2,1,0
252,3,2,1,2,1,4,3,0
253,3,6,1,5,1,4,3,0
254,3,6,2,6,3,4,3,0
255,3,3,1,5,1,3,2,0
256,1,3,2,5,1,4,2,0
257,3,2,2,4,1,1,1,0
258,1,2,1,4,1,4,1,0
259,3,1,1,5,1,3,1,0
260,3,3,1,5,1,1,2,0
261,3,2,2,3,1,1,3,0
262,3,2,1,3,1,1,2,0
263,3,2,1,3,1,4,3,0
264,3,2,1,3,1,1,3,0
265,3,4,1,5,3,4,3,0
266,2,2,1,4,1,2,1,0
267,3,6,1,2,3,4,2,0
268,3,2,2,3,1,1,2,0
269,3,3,0,4,2,4,3,0
270,3,1,1,3,3,2,2,0
271,3,6,2,7,3,3,3,0
272,3,1,1,2,3,3,1,0
273,3,4,1,5,3,4,2,0
274,3,4,1,5,1,4,3,0
275,3,2,0,5,3,2,1,0
276,3,3,1,5,1,4,3,0
277,2,4,2,5,1,3,2,0
278,1,4,1,5,1,2,3,0
279,3,2,1,3,2,4,1,0
280,3,1,2,2,1,1,2,0
281,3,2,1,4,1,2,3,0
282,3,2,1,5,4,1,3,0
283,2,4,2,4,1,2,2,0
284,1,4,1,5,3,1,3,0
285,3,1,1,2,1,1,1,0
286,1,1,2,1,3,4,3,0
287,3,2,1,5,1,2,1,0
288,3,2,1,5,3,4,4,0
289,3,3,2,3,1,2,1,0
290,3,2,2,5,4,1,2,0
291,3,3,1,4,3,2,3,0
292,3,1,2,4,4,2,1,0
293,2,1,2,3,2,4,3,0
294,3,3,2,2,3,3,2,0
295,3,6,1,7,1,2,2,0
296,3,2,1,4,2,1,2,0
297,3,1,2,4,2,2,1,0
298,2,2,1,2,3,1,1,0
299,3,3,2,4,1,1,1,0
300,1,2,0,1,1,4,3,0
301,3,4,1,6,1,3,3,0
302,3,4,1,5,1,1,3,0
303,3,2,2,5,4,2,1,0
304,3,2,1,2,1,2,1,1
305,3,4,1,3,2,4,1,0
306,1,1,1,3,1,2,1,0
307,3,1,0,2,4,2,1,0
308,1,4,1,5,1,1,2,0
309,3,9,0,7,4,2,2,0
310,3,2,2,2,4,4,1,0
311,3,8,2,5,4,4,3,0
312,3,1,2,1,3,2,1,0
313,2,4,1,3,1,1,2,0
314,1,1,1,2,1,1,1,0
315,3,3,1,3,4,4,4,0
316,3,4,0,4,1,3,3,0
317,3,2,1,5,1,2,3,0
318,3,3,2,3,1,2,2,0
319,3,1,0,3,2,2,4,0
320,3,2,1,4,3,2,4,0
321,3,2,1,4,2,2,1,0
322,3,2,1,4,3,4,1,0
323,1,2,2,4,4,1,1,0
324,3,2,1,4,1,2,1,0
325,3,4,2,3,3,4,1,0
326,3,2,1,3,2,2,1,0
327,3,1,2,3,1,4,1,0
328,3,3,1,5,4,3,2,0
329,3,3,2,6,1,4,3,0
330,3,4,2,4,4,2,3,0
331,3,3,2,4,1,2,3,0
332,3,1,2,4,1,3,3,0
333,3,4,1,3,4,3,2,0
334,3,4,2,2,4,4,3,0
335,1,4,1,4,1,1,2,0
336,1,2,2,3,2,4,1,0
337,1,2,2,3,1,3,2,0
338,3,2,1,5,2,2,1,0
339,3,2,1,3,3,3,2,0
340,3,5,2,5,4,4,3,0
341,1,4,0,5,1,2,3,0
342,3,3,2,5,4,1,4,0
343,3,2,1,5,2,2,1,0
344,3,2,2,2,2,3,3,0
345,3,2,1,4,1,2,2,0
346,3,2,1,2,3,4,4,0
347,3,2,2,2,1,4,4,0
348,1,2,2,4,1,2,2,0
349,3,2,2,2,1,2,3,0
350,3,2,2,4,4,2,3,0
351,3,4,1,4,3,3,3,0
352,3,8,2,7,4,4,3,0
353,1,2,2,5,1,2,1,1
354,3,1,1,3,2,4,4,0
355,3,6,2,8,4,4,4,0
356,1,4,1,5,1,2,4,0
357,3,2,2,3,1,4,1,0
358,3,3,1,4,1,4,3,0
359,3,3,2,6,4,4,3,0
360,3,2,2,3,1,4,1,0
361,1,2,1,4,1,1,3,0
362,3,1,2,3,4,2,2,0
363,3,2,1,3,1,2,1,0
364,3,2,1,4,4,2,4,0
365,3,2,0,5,1,4,2,0
366,3,4,1,3,3,2,3,0
367,2,2,0,3,1,2,1,0
368,1,3,1,3,1,2,3,0
369,1,4,1,5,1,2,1,0
370,1,4,1,6,1,2,3,0
371,3,4,2,5,3,4,3,0
372,2,4,2,7,3,4,4,0
373,1,1,1,1,1,1,1,0
374,3,4,2,4,2,3,1,0
375,1,5,1,5,1,2,3,0
376,1,2,0,3,1,3,1,1
377,2,5,2,6,1,4,3,0
378,2,3,1,4,2,2,1,0
379,3,5,2,6,4,3,2,0
380,1,3,1,5,1,1,3,0
381,1,4,1,5,1,3,3,0
382,3,10,2,8,4,4,4,0
383,2,2,1,1,1,2,1,0
384,3,7,2,5,3,2,1,0
385,2,2,1,1,1,2,1,0
386,2,2,1,2,1,2,2,1
387,3,4,1,6,1,2,2,0
388,3,2,1,3,1,2,3,0
389,1,4,1,5,4,4,1,0
390,3,3,1,5,1,3,3,0
391,3,2,2,3,3,1,4,0
392,3,1,2,3,1,2,2,0
393,3,3,2,3,1,2,4,0
394,3,4,1,6,2,2,3,0
395,2,2,1,3,1,4,1,0
396,2,4,2,6,1,1,3,0
397,3,2,1,2,1,2,1,0
398,3,2,2,4,1,2,1,0
399,2,2,1,6,1,3,3,0
400,2,5,1,5,1,1,2,0
401,2,2,1,3,2,3,1,0
402,1,1,1,3,3,1,2,0
403,3,4,1,5,1,1,2,0
404,3,3,1,5,1,1,3,0
405,2,8,1,6,4,1,4,0
406,3,3,1,5,1,2,3,0
407,2,2,1,3,1,2,1,0
408,2,3,1,4,3,1,1,0
409,3,7,1,6,4,3,2,0
410,3,3,1,3,2,1,1,0
411,3,4,2,5,4,2,1,0
412,3,2,2,2,4,4,3,0
413,3,4,2,4,3,2,3,0
414,3,2,2,2,3,4,2,0
415,3,5,2,5,1,4,3,0
416,3,2,2,3,2,1,1,0
417,3,4,2,6,3,2,1,0
418,3,3,2,3,4,2,2,0
419,1,3,2,3,1,4,3,0
420,3,2,1,2,1,2,1,0
421,2,2,2,3,3,2,3,0
422,2,3,2,3,1,1,3,0
423,3,2,1,4,4,4,4,0
424,3,3,2,4,1,4,3,0
425,3,2,2,2,1,4,1,0
426,2,7,2,8,2,3,4,0
427,2,2,2,4,1,4,3,1
428,1,2,1,3,4,2,2,0
429,2,2,1,5,4,2,1,0
430,3,5,2,5,1,3,3,0
431,3,2,2,4,3,4,4,1
432,2,3,2,4,3,2,3,0
433,2,3,2,4,4,2,1,0
434,3,2,2,3,4,4,4,0
435,3,2,2,2,4,4,4,0
436,3,3,2,4,2,2,3,0
437,3,1,2,2,1,2,1,0
438,1,5,2,4,1,4,3,0
439,2,3,2,5,1,1,3,0
440,3,4,2,4,1,1,2,0
441,3,5,2,6,1,3,3,0
442,1,7,2,8,4,3,2,0
443,3,3,1,3,4,2,1,0
444,3,2,2,2,1,4,1,0
445,3,2,1,4,1,2,1,0
446,3,1,2,2,4,4,4,0
447,3,2,1,2,4,2,3,0
448,3,6,1,5,1,2,4,0
449,2,2,1,2,3,2,1,0
450,2,2,1,2,3,2,1,1
451,1,4,1,4,4,3,3,0
452,2,2,1,6,1,1,4,0
453,2,4,2,6,1,1,4,0
454,1,3,1,5,1,1,4,0
455,2,10,2,6,4,2,1,0
456,2,4,2,5,1,2,3,0
457,2,3,1,4,3,2,2,0
458,2,4,2,4,4,1,2,0
459,3,2,1,4,4,1,3,0
460,2,4,1,6,4,1,1,0
461,2,3,2,6,1,1,2,0
462,3,3,1,5,2,1,3,0
463,1,5,1,5,1,2,3,1
464,2,2,1,6,4,1,1,0
465,3,2,1,3,4,4,1,0
466,2,2,1,4,4,2,3,0
467,3,3,1,6,3,4,4,0
468,2,6,1,4,1,3,3,0
469,3,2,1,3,1,4,2,0
470,3,3,1,4,1,2,4,0
471,3,4,1,2,4,4,3,0
472,3,6,1,6,4,4,2,0
473,3,3,1,4,4,3,1,0
474,3,6,1,5,1,4,3,0
475,3,4,1,2,1,1,3,0
476,3,3,1,5,1,4,2,0
477,3,4,1,5,4,1,3,0
478,3,2,2,5,1,4,4,0
479,2,3,1,5,1,1,3,0
480,3,5,1,6,4,4,2,0
481,2,3,1,5,1,3,1,0
482,3,4,2,5,1,2,4,0
483,3,2,2,6,4,4,2,0
484,3,2,2,4,3,3,2,0
485,3,2,2,3,1,2,1,0
486,3,3,2,5,1,1,3,0
487,2,3,2,5,1,4,2,0
488,3,2,1,3,1,2,1,0
489,3,2,1,5,4,1,2,0
490,3,3,1,4,1,1,1,0
491,3,2,2,5,1,4,2,0
492,1,3,0,5,1,3,2,0
493,3,4,2,5,1,4,1,0
494,1,2,2,3,1,4,1,0
495,3,4,1,3,2,3,2,0
496,3,1,1,4,1,3,1,0
497,3,4,2,5,4,3,2,0
498,3,2,2,2,1,1,2,0
499,1,2,1,4,3,4,1,0
500,3,4,1,3,1,1,1,0
501,3,4,2,4,2,3,2,0
502,3,1,1,4,1,3,2,0
503,3,4,2,4,1,2,1,0
504,3,4,1,7,1,3,3,0
505,3,1,2,4,1,4,1,0
506,3,2,2,3,4,4,1,0
507,3,4,2,6,4,2,2,0
508,3,4,2,6,1,4,3,0
509,1,1,1,3,2,4,2,0
510,3,1,2,4,3,2,3,0
511,3,1,1,4,1,1,4,0
512,2,4,2,5,2,1,3,0
513,2,5,1,5,1,1,2,0
514,3,3,1,5,3,3,3,0
515,2,4,1,5,2,1,3,0
516,2,4,2,6,2,3,3,0
517,3,6,1,4,1,2,4,1
518,3,4,1,6,4,1,3,1
519,3,6,2,6,1,1,2,1
520,3,6,1,5,1,2,3,1
521,3,6,1,8,1,1,3,1
522,3,1,1,2,1,2,1,0
523,3,3,1,3,4,1,1,0
524,2,2,2,4,1,1,3,0
525,3,6,2,7,1,2,3,0
526,1,2,1,2,1,2,1,0
527,2,2,1,5,1,3,1,0
528,3,3,1,4,1,2,4,0
529,3,3,2,4,1,2,3,0
530,3,1,2,4,1,3,1,0
531,3,4,2,4,4,3,3,0
532,3,2,1,4,1,2,3,0
533,1,3,2,4,1,3,2,0
534,1,3,1,4,1,1,3,0
535,2,4,1,4,1,4,3,0
536,3,1,2,5,1,3,1,0
537,3,1,2,3,1,3,1,0
538,3,2,2,2,4,4,2,0
539,2,3,0,5,1,2,3,0
540,2,2,1,4,1,1,3,1
541,2,8,1,5,4,3,3,0
542,2,2,1,4,1,2,2,1
543,2,3,2,3,1,1,2,0
544,3,1,2,4,1,3,1,0
545,2,2,1,2,1,1,1,0
546,2,5,1,4,4,2,3,0
547,3,2,2,3,4,3,2,0
548,2,2,1,3,3,2,1,0
549,3,2,2,3,3,3,3,0
550,2,2,1,4,1,3,2,0
551,3,2,2,4,1,3,1,0
552,3,2,1,3,1,2,1,0
553,3,2,1,2,4,3,2,0
554,2,2,1,4,3,1,1,0
555,3,6,2,5,1,2,3,0
556,2,8,0,7,3,1,3,0
557,3,2,1,3,1,1,2,0
558,3,4,1,6,4,1,2,0
559,2,3,1,3,3,4,1,0
560,3,4,2,5,4,1,1,0
561,3,3,2,5,1,3,3,0
562,2,10,1,6,2,1,2,1
563,3,4,1,3,2,4,4,0
564,3,5,2,5,2,2,2,0
565,2,4,2,4,2,3,2,0
566,2,6,2,7,2,3,2,0
567,3,1,2,1,2,2,3,0
568,3,2,2,4,1,4,1,0
569,3,8,1,8,4,3,3,0
570,3,2,1,3,1,1,1,0
571,3,6,1,7,4,2,4,0
572,2,5,1,7,1,1,3,0
573,2,5,0,5,3,2,3,0
574,2,6,1,6,1,2,3,0
575,2,8,0,8,4,2,3,0
576,1,6,1,5,1,4,3,1
577,1,2,1,2,1,2,3,1
578,1,6,2,5,3,2,3,1
579,1,7,1,6,4,3,3,1
580,1,4,0,4,1,3,3,1
581,1,4,1,4,2,1,2,1
582,3,4,1,5,2,4,3,1
583,1,2,1,2,2,1,2,1
584,1,2,1,7,1,4,4,1
585,1,4,1,5,1,3,4,0
586,1,3,2,6,1,4,4,0
587,1,6,1,5,1,2,2,0
588,1,3,1,5,1,3,1,0
589,2,2,1,5,1,1,1,0
590,1,2,1,4,1,2,1,0
591,1,2,2,3,1,4,4,0
592,1,6,2,6,1,1,4,1
593,1,4,0,3,1,1,4,1
594,1,5,0,5,1,2,1,0
595,1,6,2,6,1,2,2,0
596,1,2,1,2,1,2,2,0
597,1,4,2,2,1,4,1,0
598,1,5,1,5,1,4,2,0
599,1,6,1,6,1,3,2,1
600,1,6,1,7,1,2,2,1
601,3,4,2,4,1,3,2,0
602,1,1,1,3,4,1,2,0
603,1,2,1,3,1,2,2,0
604,1,6,1,5,1,4,2,1
605,1,3,2,2,1,2,2,0
606,2,1,2,3,1,1,2,0
607,1,1,2,2,1,3,2,0
608,1,8,1,5,1,3,2,0
609,2,4,1,5,2,4,4,0
610,2,2,1,2,2,1,2,1
611,1,2,1,5,1,2,3,0
612,1,2,1,4,1,2,2,0
613,1,3,1,4,1,1,2,0
614,1,4,1,6,1,1,4,0
615,1,2,1,4,1,2,2,0
616,1,5,2,8,1,4,4,0
617,1,3,1,4,2,3,3,0
618,1,5,1,5,1,1,2,1
619,2,2,2,2,1,3,1,0
620,3,4,1,7,4,2,4,0
621,3,4,2,6,1,1,4,0
622,1,2,2,4,1,4,4,0
623,1,2,1,5,1,2,2,0
624,1,4,2,6,1,1,4,0
625,1,1,2,4,1,1,4,0
626,3,2,1,5,4,1,4,0
627,3,3,2,4,3,4,3,0
628,3,1,1,3,4,1,2,0
629,1,2,1,5,1,1,4,0
630,1,3,2,3,1,2,2,0
631,1,7,1,7,1,3,2,0
632,1,4,1,5,1,2,2,0
633,1,6,1,5,1,1,2,0
634,1,6,1,5,1,3,4,0
635,1,4,1,5,1,1,4,0
636,1,2,2,4,1,4,2,1
637,1,3,2,4,1,1,2,0
638,1,4,2,5,1,4,2,0
639,1,4,2,5,1,4,2,0
640,1,6,2,4,1,2,2,0
641,3,7,0,6,1,1,2,0
642,1,4,2,6,1,4,4,0
643,1,8,2,6,1,4,4,1
644,3,4,2,4,1,4,4,0
645,1,6,1,9,1,1,3,0
646,3,4,2,4,2,4,2,0
647,3,8,2,6,4,4,3,0
648,2,5,2,5,2,4,2,0
649,2,3,1,5,2,2,3,0
650,2,4,1,5,4,2,2,0
651,2,1,1,1,4,4,2,0
652,2,2,1,2,4,4,2,0
653,3,4,2,4,4,4,2,0
654,2,8,2,6,4,2,4,0
655,2,3,2,4,4,4,2,0
656,2,4,2,3,2,1,4,1
657,2,1,1,2,1,2,1,0
658,2,2,1,5,1,2,1,0
659,2,1,1,2,1,1,1,0
660,2,2,1,3,1,2,1,0
661,2,2,1,3,1,3,1,0
662,2,2,2,2,1,2,1,0
663,2,1,1,3,1,4,3,0
664,1,2,2,2,1,4,1,0
665,2,2,1,3,1,2,1,0
666,2,2,1,4,1,1,1,0
667,2,3,2,2,1,1,1,0
668,2,3,1,2,1,2,1,0
669,2,2,1,4,1,2,1,0
670,2,3,1,4,1,1,2,0
671,2,3,1,3,1,4,1,0
672,2,3,1,3,1,2,1,0
673,2,2,1,2,1,3,1,0
674,2,2,1,2,1,1,1,0
675,3,1,2,3,2,4,3,0
676,1,2,2,3,1,2,1,0
677,2,3,2,4,1,4,1,0
678,2,3,2,5,4,3,1,0
679,2,1,1,1,1,3,1,0
680,2,2,0,3,1,2,1,0
681,2,2,1,3,1,4,1,0
682,2,4,2,6,4,3,2,0
683,2,3,2,4,4,4,1,0
684,1,2,1,4,1,2,2,0
685,3,4,2,4,1,3,2,0
686,2,2,1,4,1,2,3,0
687,2,6,0,5,4,1,4,0
688,3,3,1,5,1,1,2,0
689,1,4,1,3,2,2,3,1
690,3,10,1,8,2,3,1,0
691,1,2,1,3,1,2,1,0
692,2,1,1,1,1,1,2,0
693,3,3,2,5,1,1,2,0
694,3,2,1,4,1,2,1,0
695,3,10,2,9,1,3,3,0
696,3,2,2,4,1,2,3,0
697,3,4,1,3,1,2,2,0
698,2,8,2,5,2,1,3,0
699,1,4,2,3,3,4,2,0
700,1,6,1,7,4,4,4,1
701,2,6,2,6,1,2,3,0
702,1,3,2,7,4,2,3,0
703,1,5,1,5,3,4,2,0
704,1,1,2,3,4,4,1,0
705,3,3,1,3,3,3,2,0
706,3,4,2,5,4,4,4,0
707,2,5,2,4,4,4,1,0
708,1,8,0,7,1,3,3,1
709,3,8,2,6,1,2,4,0
710,3,4,1,5,1,4,4,0
711,1,7,2,5,1,1,3,0
712,3,6,2,6,4,4,1,0
713,3,2,2,3,4,4,2,0
714,3,1,1,5,1,2,2,0
715,3,6,0,5,1,2,3,0
716,1,8,1,6,1,3,4,0
717,3,4,1,5,3,2,2,1
718,2,3,1,4,4,1,1,1
719,2,10,1,6,2,2,3,1
720,2,8,2,6,1,4,4,1
721,3,3,1,4,1,4,3,0
722,3,4,2,5,1,2,1,0
723,3,6,2,7,4,3,3,0
724,1,4,1,5,1,2,3,0
725,2,3,1,5,1,2,3,0
726,3,4,1,5,3,3,3,0
727,3,2,1,4,1,4,3,0
728,3,6,2,8,4,2,3,0
729,2,10,2,7,4,2,4,0
730,2,7,0,7,1,1,4,0
731,3,10,1,6,4,2,4,0
732,3,3,2,5,3,4,4,0
733,1,3,1,5,1,1,3,0
734,1,6,1,6,1,4,4,0
735,3,1,1,3,3,2,1,0
736,2,2,1,3,1,4,3,0
737,3,3,2,3,3,2,1,0
738,2,3,1,3,1,4,3,0
739,2,4,0,6,2,4,3,0
740,3,2,1,4,1,3,1,0
741,3,2,1,5,3,3,1,0
742,1,4,1,5,4,2,3,1
743,3,5,2,7,4,4,3,0
744,3,5,1,5,4,3,2,0
745,3,1,1,4,1,2,2,0
746,2,4,1,5,4,4,4,0
747,3,4,2,6,1,4,4,0
748,2,2,1,3,1,3,2,0
749,3,4,1,5,1,4,4,0
750,2,6,2,5,2,4,4,0
751,1,2,1,2,1,2,3,1
752,2,2,2,3,3,4,4,1
753,2,4,1,5,3,1,3,1
754,2,1,1,8,4,1,2,1
755,1,3,0,2,1,4,3,1
756,1,4,2,3,1,4,3,1
757,1,2,0,3,1,2,3,1
758,2,5,1,4,1,2,4,1
759,2,6,2,5,1,1,3,1
760,2,8,1,5,1,3,1,1
761,1,3,1,5,1,2,4,1
762,3,4,0,6,4,2,2,1
763,2,10,1,6,1,2,4,1
764,3,4,2,5,1,4,3,1
765,3,2,1,3,1,3,3,1
766,2,7,2,5,1,3,1,1
767,3,3,2,4,1,2,2,1
768,2,2,0,3,2,3,4,1
